id,inventory_id,project_id,unit_number,unit_type,block,area_marla,rate_per_marla,status,factor_details,notes,created_at,updated_at,plot_coordinates,plot_offset,is_manual_plot
815e7d64-6a38-4028-b0ca-0f0ff7bebde6,INV-00078,f98b3053-9a60-4752-9ea9-164abdb7d691,69,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
0acbc43c-981b-4d2e-9fa2-a6ef05b37fe7,INV-00079,f98b3053-9a60-4752-9ea9-164abdb7d691,70,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
a6d675a7-6236-4dab-bbc3-08ae49ce22d9,INV-00080,f98b3053-9a60-4752-9ea9-164abdb7d691,71,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
f1577e2c-f0a2-40b9-b798-b8421a80df83,INV-00081,f98b3053-9a60-4752-9ea9-164abdb7d691,72,plot,IB-2,5.24,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ad5adcab-9ac8-4c7e-a149-fb14c8a2574e,INV-00082,f98b3053-9a60-4752-9ea9-164abdb7d691,73,plot,IB-2,5.24,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
0ac714f8-db96-4e16-952e-fd19b8eccb53,INV-00083,f98b3053-9a60-4752-9ea9-164abdb7d691,74,plot,IB-2,4.96,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
c29e757b-28ab-45e6-a188-256fff404bb9,INV-00084,f98b3053-9a60-4752-9ea9-164abdb7d691,75,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
d96cc6b5-4282-451f-9983-d01a0015a3ee,INV-00085,f98b3053-9a60-4752-9ea9-164abdb7d691,76,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
84e8e9bf-0959-4f55-8e92-664e85f51d96,INV-00086,f98b3053-9a60-4752-9ea9-164abdb7d691,77,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
d1d43323-137c-434c-bb47-f438b3e1fb8d,INV-00087,f98b3053-9a60-4752-9ea9-164abdb7d691,78,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
3b0e5705-dd0d-4eb9-aa49-50b27f16e2b0,INV-00088,f98b3053-9a60-4752-9ea9-164abdb7d691,79,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
0db145b1-54a2-4c51-833f-ddc118a2fbac,INV-00089,f98b3053-9a60-4752-9ea9-164abdb7d691,80,plot,IB-2,4.96,1627500.00,available,Mosque,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ef33c5e5-196d-4005-976d-7a57967b8807,INV-00090,f98b3053-9a60-4752-9ea9-164abdb7d691,81,plot,IB-2,4.96,1627500.00,available,Mosque,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
95b514ad-bbcb-4998-85c3-b8155d68ebd8,INV-00091,f98b3053-9a60-4752-9ea9-164abdb7d691,82,plot,IB-2,4.96,1627500.00,available,Mosque,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
a5ea56e0-d196-429e-acf3-355802c888df,INV-00092,f98b3053-9a60-4752-9ea9-164abdb7d691,83,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
de133c75-30b6-4bf6-9bd0-b95e9865450d,INV-00093,f98b3053-9a60-4752-9ea9-164abdb7d691,84,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4edacfb1-4b7d-43d9-8dc5-294fb87a2ef4,INV-00094,f98b3053-9a60-4752-9ea9-164abdb7d691,85,plot,IB-2,4.96,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
f6e8f870-e195-4eca-8da7-4bcf597137ee,INV-00095,f98b3053-9a60-4752-9ea9-164abdb7d691,86,plot,IB-2,7.44,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
0a50691a-d2fe-4606-8b4d-8808fdc20c9a,INV-00096,f98b3053-9a60-4752-9ea9-164abdb7d691,87,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
719d0517-38c6-42cd-8e97-21696b194802,INV-00097,f98b3053-9a60-4752-9ea9-164abdb7d691,88,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ebe54778-47a3-45b6-988d-68b044af0913,INV-00098,f98b3053-9a60-4752-9ea9-164abdb7d691,89,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
322f20f4-6074-4184-b264-9cd9011afa53,INV-00099,f98b3053-9a60-4752-9ea9-164abdb7d691,90,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
92b5f865-2e5e-43e9-9581-3142cf15f632,INV-00100,f98b3053-9a60-4752-9ea9-164abdb7d691,91,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
5a6daa50-2615-4506-839f-b4e7ff99f7ff,INV-00101,f98b3053-9a60-4752-9ea9-164abdb7d691,92,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
2cea0f02-407a-4189-b835-b9f09204d6c3,INV-00102,f98b3053-9a60-4752-9ea9-164abdb7d691,93,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
7f4ccb21-f70f-4d87-8ad2-d39bdbba8f06,INV-00103,f98b3053-9a60-4752-9ea9-164abdb7d691,94,plot,IB-2,6.51,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
16f86b6a-bea0-4bbf-91ce-8b8c333b1eb1,INV-00104,f98b3053-9a60-4752-9ea9-164abdb7d691,95,plot,IB-2,6.94,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
dd65041e-c2de-4868-a8a7-adfb7dfdaae8,INV-00105,f98b3053-9a60-4752-9ea9-164abdb7d691,96,plot,IB-2,6.52,1627500.00,available,Corner,Factor: 5%,2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
a19ab5a6-3c3b-4707-8ea8-e876913a4665,INV-00106,f98b3053-9a60-4752-9ea9-164abdb7d691,97,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4057b89d-e4f6-4ade-b56c-1c18510ffca5,INV-00107,f98b3053-9a60-4752-9ea9-164abdb7d691,98,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ab979255-b1db-4fa1-9534-8b13aa3feb4c,INV-00108,f98b3053-9a60-4752-9ea9-164abdb7d691,99,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
32dc0df8-4b9b-4dc3-8d4b-168627a84b6c,INV-00109,f98b3053-9a60-4752-9ea9-164abdb7d691,100,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
ef3c423d-379d-4f6d-a251-7197ac1e7424,INV-00110,f98b3053-9a60-4752-9ea9-164abdb7d691,101,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
1650e12d-f924-4f15-9d2d-1425907cda0f,INV-00111,f98b3053-9a60-4752-9ea9-164abdb7d691,102,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
9f932072-a7ee-4b03-844c-2af63d785437,INV-00112,f98b3053-9a60-4752-9ea9-164abdb7d691,103,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
43304669-96d9-452e-a657-14f48884d2bc,INV-00113,f98b3053-9a60-4752-9ea9-164abdb7d691,104,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
765bf5fc-2342-469e-b9e2-6368b527a5e4,INV-00114,f98b3053-9a60-4752-9ea9-164abdb7d691,105,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
4067878b-9c52-4207-85d5-3b36a0e495a4,INV-00115,f98b3053-9a60-4752-9ea9-164abdb7d691,106,plot,IB-2,6.07,1550000.00,available,"","",2026-01-28 09:10:26.856088,2026-01-28 09:10:26.856088,,,false
